ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_ps v_speed 
8.55305 5.89302 0 1.20404 
9.84437 5.85481 0 1.10455 
11.148 5.89152 0 1.1766 
12.4192 5.88953 0 1.02133 
13.7363 5.90232 0 1.14352 
15.0107 5.88273 0 0.964325 
16.2907 5.88299 0 0.869026 
17.6222 5.92015 0 1.14527 
18.8536 5.91272 0 0.915215 
0.724662 7.14888 0 1.01281 
2.01038 7.16074 0 0.919537 
3.33662 7.14878 0 1.06415 
4.64141 7.13372 0 1.09129 
5.94232 7.17426 0 1.11206 
7.25065 7.18173 0 1.16744 
8.52027 7.14516 0 0.968702 
9.81882 7.165 0 0.971922 
11.1582 7.19754 0 1.23445 
12.4513 7.14461 0 1.14268 
13.7263 7.18496 0 1.04366 
15.0328 7.19216 0 1.095 
